% Lists absorption spectra [cm^-1] vs wavelength (lambda [nm]).
%  (note: fat absorption = 1e-4 is where no data was available.
% lambda	oxy	deoxy	water	fat	mel [cm^-1] 
300	3.53e+02	3.45e+02	6.70e-03	1.00e-04	3.72e+03
301	3.46e+02	3.37e+02	6.60e-03	1.00e-04	3.68e+03
302	3.38e+02	3.28e+02	6.50e-03	1.00e-04	3.64e+03
303	3.35e+02	3.22e+02	6.40e-03	1.00e-04	3.60e+03
304	3.32e+02	3.15e+02	6.30e-03	1.00e-04	3.56e+03
305	3.33e+02	3.10e+02	6.20e-03	1.00e-04	3.52e+03
306	3.34e+02	3.05e+02	6.10e-03	1.00e-04	3.48e+03
307	3.35e+02	3.07e+02	5.99e-03	1.00e-04	3.45e+03
308	3.37e+02	3.09e+02	5.89e-03	1.00e-04	3.41e+03
309	3.38e+02	3.13e+02	5.79e-03	1.00e-04	3.37e+03
310	3.39e+02	3.17e+02	5.69e-03	1.00e-04	3.34e+03
311	3.46e+02	3.25e+02	5.59e-03	1.00e-04	3.30e+03
312	3.53e+02	3.33e+02	5.49e-03	1.00e-04	3.27e+03
313	3.61e+02	3.42e+02	5.39e-03	1.00e-04	3.23e+03
314	3.70e+02	3.50e+02	5.29e-03	1.00e-04	3.20e+03
315	3.79e+02	3.58e+02	5.19e-03	1.00e-04	3.16e+03
316	3.88e+02	3.66e+02	5.09e-03	1.00e-04	3.13e+03
317	3.96e+02	3.74e+02	4.99e-03	1.00e-04	3.10e+03
318	4.04e+02	3.81e+02	4.89e-03	1.00e-04	3.07e+03
319	4.13e+02	3.90e+02	4.78e-03	1.00e-04	3.03e+03
320	4.22e+02	3.99e+02	4.68e-03	1.00e-04	3.00e+03
321	4.31e+02	4.09e+02	4.58e-03	1.00e-04	2.97e+03
322	4.40e+02	4.19e+02	4.48e-03	1.00e-04	2.94e+03
323	4.50e+02	4.29e+02	4.38e-03	1.00e-04	2.91e+03
324	4.60e+02	4.39e+02	4.28e-03	1.00e-04	2.88e+03
325	4.71e+02	4.49e+02	4.18e-03	1.00e-04	2.85e+03
326	4.81e+02	4.58e+02	4.11e-03	1.00e-04	2.82e+03
327	4.91e+02	4.66e+02	4.03e-03	1.00e-04	2.79e+03
328	5.02e+02	4.74e+02	3.96e-03	1.00e-04	2.76e+03
329	5.12e+02	4.80e+02	3.88e-03	1.00e-04	2.74e+03
330	5.22e+02	4.87e+02	3.81e-03	1.00e-04	2.71e+03
331	5.31e+02	4.93e+02	3.74e-03	1.00e-04	2.68e+03
332	5.41e+02	4.99e+02	3.66e-03	1.00e-04	2.66e+03
333	5.47e+02	5.05e+02	3.59e-03	1.00e-04	2.63e+03
334	5.54e+02	5.12e+02	3.51e-03	1.00e-04	2.60e+03
335	5.58e+02	5.23e+02	3.44e-03	1.00e-04	2.58e+03
336	5.62e+02	5.34e+02	3.37e-03	1.00e-04	2.55e+03
337	5.66e+02	5.47e+02	3.29e-03	1.00e-04	2.53e+03
338	5.70e+02	5.59e+02	3.22e-03	1.00e-04	2.50e+03
339	5.74e+02	5.70e+02	3.14e-03	1.00e-04	2.48e+03
340	5.78e+02	5.81e+02	3.07e-03	1.00e-04	2.45e+03
341	5.81e+02	5.88e+02	3.00e-03	1.00e-04	2.43e+03
342	5.84e+02	5.94e+02	2.92e-03	1.00e-04	2.41e+03
343	5.87e+02	6.01e+02	2.85e-03	1.00e-04	2.38e+03
344	5.90e+02	6.08e+02	2.77e-03	1.00e-04	2.36e+03
345	5.87e+02	6.15e+02	2.70e-03	1.00e-04	2.34e+03
346	5.84e+02	6.21e+02	2.63e-03	1.00e-04	2.31e+03
347	5.81e+02	6.29e+02	2.55e-03	1.00e-04	2.29e+03
348	5.78e+02	6.36e+02	2.48e-03	1.00e-04	2.27e+03
349	5.74e+02	6.45e+02	2.40e-03	1.00e-04	2.25e+03
350	5.71e+02	6.54e+02	2.33e-03	1.00e-04	2.23e+03
351	5.67e+02	6.63e+02	2.28e-03	1.00e-04	2.21e+03
352	5.62e+02	6.72e+02	2.24e-03	1.00e-04	2.19e+03
353	5.59e+02	6.81e+02	2.19e-03	1.00e-04	2.16e+03
354	5.55e+02	6.90e+02	2.14e-03	1.00e-04	2.14e+03
355	5.50e+02	6.99e+02	2.10e-03	1.00e-04	2.12e+03
356	5.44e+02	7.07e+02	2.05e-03	1.00e-04	2.10e+03
357	5.34e+02	7.12e+02	2.01e-03	1.00e-04	2.09e+03
358	5.24e+02	7.16e+02	1.96e-03	1.00e-04	2.07e+03
359	5.16e+02	7.19e+02	1.91e-03	1.00e-04	2.05e+03
360	5.07e+02	7.23e+02	1.87e-03	1.00e-04	2.03e+03
361	5.01e+02	7.26e+02	1.82e-03	1.00e-04	2.01e+03
362	4.94e+02	7.28e+02	1.77e-03	1.00e-04	1.99e+03
363	4.88e+02	7.31e+02	1.73e-03	1.00e-04	1.97e+03
364	4.81e+02	7.33e+02	1.68e-03	1.00e-04	1.95e+03
365	4.77e+02	7.36e+02	1.63e-03	1.00e-04	1.94e+03
366	4.74e+02	7.38e+02	1.59e-03	1.00e-04	1.92e+03
367	4.71e+02	7.41e+02	1.54e-03	1.00e-04	1.90e+03
368	4.69e+02	7.44e+02	1.49e-03	1.00e-04	1.88e+03
369	4.70e+02	7.47e+02	1.45e-03	1.00e-04	1.87e+03
370	4.72e+02	7.50e+02	1.40e-03	1.00e-04	1.85e+03
371	4.81e+02	7.52e+02	1.36e-03	1.00e-04	1.83e+03
372	4.90e+02	7.55e+02	1.31e-03	1.00e-04	1.82e+03
373	5.00e+02	7.58e+02	1.26e-03	1.00e-04	1.80e+03
374	5.09e+02	7.61e+02	1.22e-03	1.00e-04	1.79e+03
375	5.20e+02	7.64e+02	1.17e-03	1.00e-04	1.77e+03
376	5.30e+02	7.67e+02	1.15e-03	1.00e-04	1.75e+03
377	5.42e+02	7.70e+02	1.12e-03	1.00e-04	1.74e+03
378	5.54e+02	7.73e+02	1.10e-03	1.00e-04	1.72e+03
379	5.70e+02	7.76e+02	1.08e-03	1.00e-04	1.71e+03
380	5.87e+02	7.78e+02	1.05e-03	1.00e-04	1.69e+03
381	6.07e+02	7.78e+02	1.03e-03	1.00e-04	1.68e+03
382	6.26e+02	7.78e+02	1.00e-03	1.00e-04	1.66e+03
383	6.49e+02	7.87e+02	9.81e-04	1.00e-04	1.65e+03
384	6.72e+02	7.96e+02	9.58e-04	1.00e-04	1.64e+03
385	6.98e+02	8.10e+02	9.34e-04	1.00e-04	1.62e+03
386	7.24e+02	8.24e+02	9.10e-04	1.00e-04	1.61e+03
387	7.58e+02	8.39e+02	8.87e-04	1.00e-04	1.59e+03
388	7.93e+02	8.54e+02	8.63e-04	1.00e-04	1.58e+03
389	8.46e+02	8.76e+02	8.40e-04	1.00e-04	1.57e+03
390	8.98e+02	8.98e+02	8.16e-04	1.00e-04	1.55e+03
391	9.57e+02	9.31e+02	7.92e-04	1.00e-04	1.54e+03
392	1.02e+03	9.64e+02	7.69e-04	1.00e-04	1.53e+03
393	1.08e+03	9.95e+02	7.45e-04	1.00e-04	1.51e+03
394	1.14e+03	1.03e+03	7.22e-04	1.00e-04	1.50e+03
395	1.19e+03	1.05e+03	6.98e-04	1.00e-04	1.49e+03
396	1.24e+03	1.08e+03	6.74e-04	1.00e-04	1.48e+03
397	1.29e+03	1.11e+03	6.51e-04	1.00e-04	1.46e+03
398	1.33e+03	1.14e+03	6.27e-04	1.00e-04	1.45e+03
399	1.38e+03	1.17e+03	6.04e-04	1.00e-04	1.44e+03
400	1.43e+03	1.20e+03	5.80e-04	1.00e-04	1.43e+03
401	1.47e+03	1.23e+03	5.72e-04	1.00e-04	1.42e+03
402	1.52e+03	1.26e+03	5.64e-04	1.00e-04	1.40e+03
403	1.59e+03	1.31e+03	5.56e-04	1.00e-04	1.39e+03
404	1.65e+03	1.36e+03	5.48e-04	1.00e-04	1.38e+03
405	1.77e+03	1.40e+03	5.40e-04	1.00e-04	1.37e+03
406	1.90e+03	1.45e+03	5.32e-04	1.00e-04	1.36e+03
407	2.08e+03	1.49e+03	5.24e-04	1.00e-04	1.35e+03
408	2.26e+03	1.54e+03	5.16e-04	1.00e-04	1.34e+03
409	2.38e+03	1.58e+03	5.08e-04	1.00e-04	1.33e+03
410	2.50e+03	1.63e+03	5.00e-04	1.00e-04	1.32e+03
411	2.59e+03	1.67e+03	4.92e-04	1.00e-04	1.30e+03
412	2.68e+03	1.72e+03	4.84e-04	1.00e-04	1.29e+03
413	2.74e+03	1.78e+03	4.76e-04	1.00e-04	1.28e+03
414	2.81e+03	1.83e+03	4.68e-04	1.00e-04	1.27e+03
415	2.80e+03	1.89e+03	4.60e-04	1.00e-04	1.26e+03
416	2.79e+03	1.95e+03	4.52e-04	1.00e-04	1.25e+03
417	2.78e+03	2.01e+03	4.44e-04	1.00e-04	1.24e+03
418	2.76e+03	2.07e+03	4.36e-04	1.00e-04	1.23e+03
419	2.67e+03	2.12e+03	4.28e-04	1.00e-04	1.22e+03
420	2.57e+03	2.18e+03	4.20e-04	1.00e-04	1.21e+03
421	2.44e+03	2.24e+03	4.12e-04	1.00e-04	1.20e+03
422	2.31e+03	2.30e+03	4.04e-04	1.00e-04	1.19e+03
423	2.16e+03	2.39e+03	3.96e-04	1.00e-04	1.19e+03
424	2.01e+03	2.47e+03	3.88e-04	1.00e-04	1.18e+03
425	1.88e+03	2.52e+03	3.80e-04	1.00e-04	1.17e+03
426	1.75e+03	2.58e+03	3.76e-04	1.00e-04	1.16e+03
427	1.63e+03	2.63e+03	3.72e-04	1.00e-04	1.15e+03
428	1.52e+03	2.68e+03	3.68e-04	1.00e-04	1.14e+03
429	1.42e+03	2.76e+03	3.64e-04	1.00e-04	1.13e+03
430	1.32e+03	2.83e+03	3.60e-04	1.00e-04	1.12e+03
431	1.23e+03	2.89e+03	3.56e-04	1.00e-04	1.11e+03
432	1.15e+03	2.96e+03	3.52e-04	1.00e-04	1.11e+03
433	1.02e+03	2.96e+03	3.48e-04	1.00e-04	1.10e+03
434	8.85e+02	2.96e+03	3.44e-04	1.00e-04	1.09e+03
435	7.98e+02	2.94e+03	3.40e-04	1.00e-04	1.08e+03
436	7.11e+02	2.93e+03	3.36e-04	1.00e-04	1.07e+03
437	6.75e+02	2.81e+03	3.32e-04	1.00e-04	1.06e+03
438	6.38e+02	2.69e+03	3.28e-04	1.00e-04	1.06e+03
439	5.94e+02	2.45e+03	3.24e-04	1.00e-04	1.05e+03
440	5.49e+02	2.21e+03	3.20e-04	1.00e-04	1.04e+03
441	5.23e+02	2.08e+03	3.16e-04	1.00e-04	1.03e+03
442	4.97e+02	1.95e+03	3.12e-04	1.00e-04	1.02e+03
443	4.66e+02	1.73e+03	3.08e-04	1.00e-04	1.02e+03
444	4.36e+02	1.51e+03	3.04e-04	1.00e-04	1.01e+03
445	4.22e+02	1.39e+03	3.00e-04	1.00e-04	1.00e+03
446	4.09e+02	1.27e+03	2.96e-04	1.00e-04	9.94e+02
447	3.84e+02	1.10e+03	2.92e-04	1.00e-04	9.86e+02
448	3.59e+02	9.28e+02	2.88e-04	1.00e-04	9.79e+02
449	3.48e+02	7.41e+02	2.84e-04	1.00e-04	9.72e+02
450	3.36e+02	5.53e+02	2.80e-04	1.00e-04	9.65e+02
451	3.26e+02	4.44e+02	2.79e-04	1.00e-04	9.57e+02
452	3.15e+02	3.35e+02	2.77e-04	1.00e-04	9.50e+02
453	3.01e+02	2.65e+02	2.76e-04	1.00e-04	9.43e+02
454	2.87e+02	1.94e+02	2.75e-04	1.00e-04	9.37e+02
455	2.76e+02	1.79e+02	2.73e-04	1.00e-04	9.30e+02
456	2.65e+02	1.64e+02	2.72e-04	1.00e-04	9.23e+02
457	2.60e+02	1.52e+02	2.71e-04	1.00e-04	9.16e+02
458	2.54e+02	1.39e+02	2.69e-04	1.00e-04	9.10e+02
459	2.46e+02	1.32e+02	2.68e-04	1.00e-04	9.03e+02
460	2.38e+02	1.25e+02	2.67e-04	1.00e-04	8.97e+02
461	2.30e+02	1.19e+02	2.65e-04	1.00e-04	8.90e+02
462	2.21e+02	1.12e+02	2.64e-04	1.00e-04	8.84e+02
463	2.17e+02	1.08e+02	2.63e-04	1.00e-04	8.77e+02
464	2.13e+02	1.03e+02	2.62e-04	1.00e-04	8.71e+02
465	2.06e+02	1.00e+02	2.60e-04	1.00e-04	8.65e+02
466	1.99e+02	9.71e+01	2.59e-04	1.00e-04	8.59e+02
467	1.93e+02	9.42e+01	2.58e-04	1.00e-04	8.53e+02
468	1.87e+02	9.12e+01	2.56e-04	1.00e-04	8.46e+02
469	1.82e+02	8.88e+01	2.55e-04	1.00e-04	8.40e+02
470	1.78e+02	8.65e+01	2.54e-04	1.00e-04	8.35e+02
471	1.74e+02	8.42e+01	2.52e-04	1.00e-04	8.29e+02
472	1.69e+02	8.20e+01	2.51e-04	1.00e-04	8.23e+02
473	1.65e+02	8.13e+01	2.50e-04	1.00e-04	8.17e+02
474	1.61e+02	8.06e+01	2.48e-04	1.00e-04	8.11e+02
475	1.58e+02	7.99e+01	2.47e-04	1.00e-04	8.06e+02
476	1.54e+02	7.92e+01	2.47e-04	1.00e-04	8.00e+02
477	1.51e+02	7.89e+01	2.47e-04	1.00e-04	7.94e+02
478	1.48e+02	7.85e+01	2.47e-04	1.00e-04	7.89e+02
479	1.46e+02	7.82e+01	2.47e-04	1.00e-04	7.83e+02
480	1.43e+02	7.79e+01	2.48e-04	1.00e-04	7.78e+02
481	1.40e+02	7.88e+01	2.48e-04	1.00e-04	7.73e+02
482	1.38e+02	7.97e+01	2.48e-04	1.00e-04	7.67e+02
483	1.36e+02	8.06e+01	2.48e-04	1.00e-04	7.62e+02
484	1.35e+02	8.15e+01	2.48e-04	1.00e-04	7.57e+02
485	1.33e+02	8.23e+01	2.48e-04	1.00e-04	7.52e+02
486	1.32e+02	8.32e+01	2.48e-04	1.00e-04	7.47e+02
